epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,548.048,0.86529,1.06368,1.15773,0.9538,0.95803,0.94815,0.73623,0.95591,0.85374,1.41729,0.000661578,0.000661578,0.000661578
2,1161.82,0.82918,0.67017,1.12636,0.9327,0.93681,0.94957,0.7416,0.87237,0.68685,1.26273,0.00130195,0.00130195,0.00130195
3,1748.9,0.84436,0.58261,1.13796,0.92503,0.95295,0.9471,0.6921,0.94999,0.6145,1.34515,0.00191591,0.00191591,0.00191591
4,2294.54,0.81955,0.54202,1.12378,0.95028,0.94603,0.95554,0.77834,0.79071,0.53113,1.19081,0.0018812,0.0018812,0.0018812
5,2828.75,0.80348,0.50543,1.11552,0.95311,0.96356,0.95933,0.787,0.74444,0.4763,1.13186,0.0018416,0.0018416,0.0018416
6,3373.44,0.77806,0.47564,1.10174,0.95288,0.95203,0.95227,0.7609,0.85964,0.51391,1.19093,0.001802,0.001802,0.001802
7,3945.79,0.78357,0.46542,1.10103,0.95888,0.97048,0.96784,0.81034,0.70679,0.41995,1.11993,0.0017624,0.0017624,0.0017624
8,4552.9,0.76944,0.4504,1.09502,0.95325,0.95942,0.9629,0.77791,0.75986,0.48185,1.14753,0.0017228,0.0017228,0.0017228
9,5103.43,0.74174,0.43909,1.08448,0.95181,0.96587,0.96187,0.7846,0.75272,0.43719,1.14288,0.0016832,0.0016832,0.0016832
10,5641.92,0.74511,0.44913,1.08739,0.95892,0.97371,0.96713,0.78985,0.7643,0.45209,1.10897,0.0016436,0.0016436,0.0016436
11,6170.12,0.733,0.43465,1.0815,0.95728,0.97151,0.9662,0.80136,0.70244,0.45996,1.12347,0.001604,0.001604,0.001604
12,6713.04,0.72243,0.41741,1.07735,0.95656,0.96494,0.967,0.79768,0.73945,0.40556,1.11498,0.0015644,0.0015644,0.0015644
13,7260.2,0.71057,0.40632,1.06278,0.95756,0.97835,0.96265,0.80491,0.6975,0.40359,1.09131,0.0015248,0.0015248,0.0015248
14,7798.13,0.71968,0.4063,1.07945,0.95723,0.98077,0.97493,0.82766,0.66706,0.36267,1.0801,0.0014852,0.0014852,0.0014852
15,8340.01,0.70729,0.40794,1.07286,0.96362,0.9691,0.96901,0.8089,0.68236,0.49479,1.09348,0.0014456,0.0014456,0.0014456
